date,ts_code,name,score,forward_return,mom_20d,regime,high,medium,low,mom_score,slope_score,turnover_score,strength_score,breadth_score,mf_score,score_bucket
20251211,801010.SI,农林牧渔,5.06,0.9,-4.67,BULL,0,1,0,3.0,4.64,9.04,4.771129096457477,1.88,5.0,"(4.9, 5.2]"
20251211,801030.SI,基础化工,4.82,1.06,-7.92,BULL,0,0,1,2.95,4.53,8.17,4.6580204325328385,2.07,5.0,"(4.6, 4.9]"
20251211,801040.SI,钢铁,4.44,1.1,-8.96,BULL,0,0,1,2.24,4.31,7.93,4.431803104683561,1.89,5.0,"(4.4, 4.6]"
20251211,801050.SI,有色金属,6.31,1.05,-2.41,BULL,0,1,0,5.29,5.37,9.98,5.521759320684623,3.7,5.0,"(6.1, 6.4]"
20251211,801080.SI,电子,6.45,-1.58,-1.1,BULL,0,1,0,5.66,5.54,9.69,5.696563619477246,4.49,5.0,"(6.4, 6.7]"
20251211,801110.SI,家用电器,5.83,0.08,-1.94,BULL,0,1,0,4.29,5.24,9.44,5.388085445137323,2.86,5.0,"(5.8, 6.1]"
20251211,801120.SI,食品饮料,4.79,1.2,-6.32,BULL,0,0,1,2.25,4.42,9.37,4.5449117686082,0.94,5.0,"(4.6, 4.9]"
20251211,801130.SI,纺织服饰,4.98,-0.02,-5.92,BULL,0,0,1,2.32,4.54,9.89,4.6683030383441695,1.45,5.0,"(4.9, 5.2]"
20251211,801140.SI,轻工制造,6.15,-0.49,-0.76,BULL,0,1,0,5.31,5.34,9.25,5.490911503250631,2.9,5.0,"(6.1, 6.4]"
20251211,801150.SI,医药生物,5.07,-1.23,-6.09,BULL,0,1,0,3.02,4.61,9.13,4.740281279023485,1.43,5.0,"(4.9, 5.2]"
20251211,801160.SI,公用事业,5.18,0.1,-4.82,BULL,0,1,0,3.31,4.71,9.01,4.843107337136792,1.58,5.0,"(4.9, 5.2]"
20251211,801170.SI,交通运输,5.2,1.63,-6.0,BULL,0,1,0,3.04,4.63,9.68,4.760846490646146,2.33,5.0,"(4.9, 5.2]"
20251211,801180.SI,房地产,4.68,-2.78,-8.89,BULL,0,0,1,2.09,4.1,9.85,4.215868382645615,0.78,5.0,"(4.6, 4.9]"
20251211,801200.SI,商贸零售,5.18,1.58,-4.59,BULL,0,1,0,4.22,4.84,7.3,4.9767812126840925,2.77,5.0,"(4.9, 5.2]"
20251211,801210.SI,社会服务,5.42,0.72,-3.19,BULL,0,1,0,3.6,4.88,9.32,5.017911635929416,2.5,5.0,"(5.2, 5.5]"
20251211,801230.SI,综合,5.51,-4.81,-2.38,BULL,0,1,0,4.72,4.97,7.87,5.110455088231392,0.0,5.0,"(5.5, 5.8]"
20251211,801710.SI,建筑材料,5.73,-0.72,-3.96,BULL,0,1,0,4.35,4.98,9.48,5.120737694042723,3.11,5.0,"(5.5, 5.8]"
20251211,801720.SI,建筑装饰,5.11,-0.74,-5.82,BULL,0,1,0,2.91,4.67,9.34,4.801976913891469,1.73,5.0,"(4.9, 5.2]"
20251211,801730.SI,电力设备,5.26,-2.59,-9.03,BULL,0,1,0,3.41,4.52,9.75,4.647737826721507,3.49,5.0,"(5.2, 5.5]"
20251211,801740.SI,国防军工,6.95,1.24,5.18,BULL,0,1,0,7.46,5.54,9.5,5.696563619477246,6.15,5.0,"(6.9, 7.2]"
20251211,801750.SI,计算机,4.64,-0.52,-5.31,BULL,0,0,1,2.31,4.64,7.99,4.771129096457477,2.09,5.0,"(4.6, 4.9]"
20251211,801760.SI,传媒,5.08,-0.83,-3.61,BULL,0,1,0,3.29,4.86,8.16,4.997346424306754,1.87,5.0,"(4.9, 5.2]"
20251211,801770.SI,通信,7.71,-0.37,12.56,BULL,1,0,0,8.24,6.73,9.11,6.9201937110256075,6.08,5.0,"(7.5, 7.8]"
20251211,801780.SI,银行,4.77,1.12,-3.81,BULL,0,0,1,2.43,4.67,8.36,4.801976913891469,0.77,5.0,"(4.6, 4.9]"
