date,ts_code,rank,score,forward_return,momentum_5d,momentum_20d,volatility_20d,volume_ratio,ma20_deviation,atr_ratio
20260513,601991.SH,8,64.61014529454077,2.31,60.91703056768558,93.43832020997375,76.59618607806968,1.9775404038358322,60.724021371715196,4.351618530723009
20260513,300283.SZ,9,64.16207726895645,7.62,30.204390613171817,106.97954271961491,105.12102512613106,1.5672362775896636,43.45885983568956,8.143687707641197
20260513,002491.SZ,10,62.71750454918984,-10.39,57.879320445225545,84.71555860178204,96.52599842250787,0.7434001489478973,51.878046718701576,5.761993108931886
20260514,300903.SZ,1,77.5303595774601,-10.15,34.89955737146746,138.31578947368422,101.37844308859569,1.1577191264435154,58.94571093303378,7.626018605321988
20260514,688655.SH,2,76.1562381061901,-8.11,39.50537634408604,127.69392769392773,115.08569473039232,1.1734081931860547,50.282053955126216,8.08099715915347
20260514,600396.SH,3,75.29014965878963,-14.48,38.66666666666667,127.94520547945206,106.15478966208288,0.9466785134516272,56.57492354740059,8.486435439560438
20260514,002081.SZ,4,70.90383710361591,-27.99,11.064425770308128,136.01190476190476,111.27791050251494,1.7269576264694293,44.62885281780047,8.070617906683479
20260514,603629.SH,5,66.07555316664454,5.4,7.657316148597415,134.45239405613648,96.89677834230594,1.0089843198184827,32.97073317284247,7.479879275653924
20260514,300965.SZ,6,64.63028310880429,-26.34,67.16524216524218,78.47908745247148,98.41646713246533,2.777054999297886,60.723151461197354,4.251628218394302
20260514,300209.SZ,7,63.71697571944561,5.2,16.48983200707339,110.80000000000001,109.43901137193322,1.0190670124340124,51.2585746677765,7.66332339387368
20260514,688234.SH,8,60.05037957052587,-17.39,52.087832973362126,81.09729961423062,92.95043961425826,1.425432107770626,53.680372106557805,6.431952662721894
20260514,601991.SH,9,57.926021433034855,-2.08,42.85714285714286,87.98955613577024,78.66660676021885,2.3354042000123814,51.451409339503584,5.148809523809523
20260514,300302.SZ,10,57.155057398146944,24.5,28.87303003270889,90.50549450549453,94.92640475692677,1.6628234314421273,46.51544091546798,6.679741578218736
20260515,300721.SZ,1,73.42082290663376,10.18,47.98387096774193,105.74632095304834,132.0184812280259,1.2416726882241598,50.52550628044088,8.37874659400545
20260515,600396.SH,2,71.83167803009619,-16.47,40.11254019292605,117.06102117061023,104.10766506316548,0.9181770189991584,57.062401441766156,9.003360380296696
20260515,002081.SZ,3,70.99563021676502,-24.33,15.441176470588225,134.32835820895522,111.7224766949048,1.5822814361226645,37.52627890679747,8.826205641492265
20260515,601991.SH,4,65.27468497135138,-13.01,42.960288808664245,104.65116279069768,81.60175797891344,2.1023701874894036,59.79017451830928,5.663780663780662
20260515,001259.SZ,5,64.52277699173938,30.91,61.07561235356762,96.42857142857142,65.89651099150011,0.6379307687504115,61.51638523660148,4.305785123966939
20260515,300209.SZ,6,61.24390459619765,18.85,11.876075731497426,108.16653322658128,110.1447163589491,1.0333758171579834,43.67816091954027,7.969780219780223
20260515,688143.SH,7,61.06316341660212,27.98,52.911249293386085,71.44668039930282,121.98654477320514,1.4122436168653845,49.47125579339262,5.89252706627938
20260515,300903.SZ,8,61.05115219053475,5.78,29.26283155356526,98.54497354497356,101.25434153388765,1.150222237035318,45.11949880114472,8.08032740078043
20260515,688655.SH,9,59.75351239241443,-4.71,22.253468316460424,97.18778348956756,107.19422108042697,1.0564988717657897,45.64743983471995,8.363090674085921
20260515,301319.SZ,10,57.22083470118382,-16.82,13.33051653110806,97.29680029422583,112.88919446780419,1.128746649373373,33.595651822013586,8.806572307364553
20260518,688143.SH,1,85.75215479722476,17.45,81.34078212290505,110.2672064777328,134.31066259409377,1.5435393389375485,71.30869605372527,5.704823519056424
20260518,300721.SZ,2,77.58271835040351,-1.19,42.74527867342237,121.83249821045092,130.1260585594236,1.3177722957809614,52.24012576144625,8.428986308947586
20260518,300302.SZ,3,76.10829740525895,-5.48,25.51643192488262,135.1363236587511,108.42378754951905,1.5579128672251472,66.1978397699899,6.899730155761574
20260518,001259.SZ,4,72.62730499888629,7.11,61.06001936108421,116.2820929476763,68.2681628509772,1.0131999999770471,69.569260953206,4.496082429966725
20260518,300209.SZ,5,63.853286492151824,9.8,16.16379310344829,113.04347826086953,109.70483763536502,1.0015623349073144,43.26723725479773,7.8876225815001355
20260518,301319.SZ,6,62.37083303994895,-24.38,11.404011461318042,111.30434782608694,113.93564571219193,1.1320663445981558,39.88714523005705,8.767514207329022
20260518,601991.SH,7,61.19965092104056,-6.68,30.213464696223326,103.8560411311054,81.81948043523737,2.2441688237020014,53.72685858292139,5.980904341560077
20260518,002208.SZ,8,58.91551928178965,-11.56,53.59784801613989,86.14506927465364,68.84346700724264,1.8067372376068167,54.533152909336934,5.328996747560669
20260518,300571.SZ,9,58.06611899246294,-9.33,18.99392888117952,96.90011481056253,103.53575887050349,1.2974153566566713,43.63183350432358,8.841107871720116
20260518,002081.SZ,10,57.69359420324055,-16.69,-2.4827586206896513,109.79228486646883,122.4495040090342,1.385576903492268,19.972849143051086,10.092948070317233
20260519,300721.SZ,1,90.09691879343083,-17.01,61.07728337236533,140.99509460406446,131.8941959715811,1.3919255143566172,60.9867989888587,7.581107464794583
20260519,300302.SZ,2,86.81737653143216,-23.23,38.75262789067975,152.65844321565288,110.73161683684789,1.4249582260543652,74.87561456707981,7.116402116402116
20260519,688143.SH,3,80.85053505674776,9.3,70.9090909090909,104.79302832244004,134.66437731895527,1.5584749608902027,66.2455785750379,6.068714719930529
20260519,001259.SZ,4,79.35579798694953,0.27,61.07810781078105,131.75055397277617,71.25129413875236,1.2237965848667984,77.14596818099326,4.602220617792259
20260519,002208.SZ,5,66.30353688981833,-24.76,53.54523227383865,103.23624595469258,72.12453765428207,1.9033360766513454,62.92644960435854,5.394108280254777
20260519,603779.SH,6,65.80478716451805,6.5,61.07382550335569,95.4397394136808,75.33747444915487,0.4420219911803873,63.77780810700149,4.5476190476190474
20260519,601991.SH,7,64.4146948099337,-14.56,25.074626865671657,116.53746770025842,80.48348674176032,2.2203247441710134,55.64635958395245,6.29048755540402
20260519,301319.SZ,8,63.130352939207725,-24.87,22.04479469099958,106.52746095806282,114.45495890117758,1.0571803719472357,36.2000532302672,9.026580895739773
20260519,600396.SH,9,63.062166015911956,4.52,7.308970099667755,121.53635116598079,104.17419726898018,0.916916948977201,35.458167330677284,10.168067226890756
20260519,300283.SZ,10,62.523141696066986,-8.53,11.527377521613836,108.96328293736501,118.07446113037862,1.147256265823375,42.33173961015078,8.907345884090068
20260520,001259.SZ,1,88.59236790854983,-7.12,61.06,155.32656943563728,71.7850249377799,1.7897292388279553,83.95504488658428,5.175533519007998
20260520,688143.SH,2,85.41997715101762,4.65,86.44755794160008,104.70097757331796,134.64396925285817,1.5883384292811873,71.9654837170824,6.23940284731071
20260520,300721.SZ,3,84.1392327350834,-9.15,53.990610328638475,131.311706629055,134.80428676452013,1.4490011584026206,47.131386533889554,7.669860627177701
20260520,300302.SZ,4,78.21404399738927,-20.36,32.087658592848896,134.7683476834768,114.79429803214825,1.2878990562759347,60.79527105769365,8.057232673020307
20260520,603779.SH,5,73.265564860426,-11.36,60.97560975609757,112.9032258064516,78.07400031712776,0.4591057322031948,71.94216490816726,4.7186147186147185
20260520,603115.SH,6,64.88146229168454,15.92,41.89090909090909,106.14961961115807,83.54330532674842,0.9594780712680159,50.495996544223146,6.006443582045836
20260520,002208.SZ,7,63.94790603213522,-28.9,43.777777777777786,103.6191974822974,72.096731499468,1.9523364342307923,60.98031287904702,5.881541179068226
20260520,301319.SZ,8,62.14283037314309,-25.19,33.2040187008853,95.80348004094165,104.56043312236712,1.1025038244183283,49.29816150647206,8.620928768789272
20260520,300209.SZ,9,60.025357022418056,-9.82,10.715682440359785,106.79327976625275,108.87284516961293,0.894658049576121,39.7231202033413,7.907352273300705
20260520,603938.SH,10,58.90418992111377,-20.76,27.27272727272727,100.52219321148823,80.12061173228695,1.1257225732361522,51.84939342155439,5.964338860544216
20260521,001259.SZ,1,96.90245327926974,-11.38,60.00000000000001,176.81660899653983,71.67759834276421,1.9852726324059624,88.89187013683927,5.262175324675322
20260521,603779.SH,2,82.43688998078959,-24.93,60.97560975609757,134.19354838709677,79.40448759930933,1.9674608645528218,79.4143086618065,4.899645808736719
20260521,603115.SH,3,78.27844819486825,4.41,50.09226401703335,138.90646181653864,75.57042524086157,1.0001823561300704,55.74506944751298,6.398443621821717
20260521,300069.SZ,4,73.87383469258546,18.91,69.78805394990368,94.0969162995595,108.70397278505546,0.6447587768195172,70.12568295461125,5.939952013488103
20260521,300721.SZ,5,73.8446162374789,13.74,28.48385778504292,120.63157894736842,137.65539845347288,1.3115991478809155,35.79527048914806,8.36741185023628
20260521,300302.SZ,6,70.52196710818255,-6.56,24.50392247346562,118.81589618815896,120.02894814659058,1.1598169955174351,45.54085582122966,9.038441173355926
20260521,688143.SH,7,69.39572918045637,29.7,44.104803493449786,90.75144508670519,139.69241309401693,1.4356866468631015,53.59285095093755,7.260281385281388
20260521,300209.SZ,8,58.72441777977273,1.98,5.199240986717268,107.79610194902548,108.51319476276504,0.8580108728674061,32.122685350682765,8.312719027004743
20260521,603316.SH,9,54.44016178312146,-25.94,47.456709956709965,71.59949622166246,83.13834307179911,1.334267779263761,47.672465181813294,5.861074705111401
20260521,002208.SZ,10,52.29427232196985,-23.57,17.626262626262612,88.12600969305329,84.44265422037057,1.9175447513001114,40.1155095656359,7.191927866036925
20260522,300069.SZ,1,94.19977881275675,-6.26,98.75939849624058,119.37759336099583,123.19110198890928,0.5824265302546707,93.400885247101,5.906671350212111
20260522,001259.SZ,2,80.01057374313547,4.65,30.909090909090907,150.87108013937285,87.82067591234724,2.067802344188841,61.73497518838449,6.715367965367963
20260522,603115.SH,3,79.63919323098341,-8.14,53.645970937912814,138.87861983980284,75.5581635306893,0.973944111788868,63.18713696439093,6.445214144466142
20260522,300209.SZ,4,74.21133434387573,-10.49,18.846153846153847,140.84177708495713,107.59940886303234,0.8246927332896062,41.19904953390605,7.49190938511327
20260522,300721.SZ,5,70.27333686703129,8.19,10.183923705722076,124.8088950660181,137.1980808397909,1.2800868290477532,34.508638074052534,8.591300507838378
20260522,688143.SH,6,69.0606634974097,22.05,27.97597042513862,102.29364499634768,138.62815152452933,1.1104275878539949,54.814545657824866,7.599376863477393
20260522,300302.SZ,7,67.96281174126086,-10.29,19.726211849192097,117.57748776508974,120.34443646244672,1.0319470848300838,38.510268193265304,9.408220645334046
20260522,603779.SH,8,66.51966172818786,-24.94,31.754032258064523,111.1470113085622,93.41185356041906,2.3665305946961257,54.91288372644303,6.186468466499071
20260522,301013.SZ,9,58.863849617422254,3.5,50.26306559102069,74.07557903291347,101.7538492417589,2.11881982981394,49.69076487648068,5.435507536347871
20260522,300903.SZ,10,58.05720975148266,-11.21,5.782811459027326,106.85252735799895,107.80845219693182,0.8833255123622121,30.877019452687126,8.496032245874794
20260525,300069.SZ,1,91.82775994856202,-9.0,85.31981824536877,125.1380042462845,121.70928947399662,0.9331617964809584,84.03012790475697,6.678072964380019
20260525,603779.SH,2,70.080960252622,-28.51,26.672777268560942,124.71544715447153,91.96616929675285,2.661763918628116,56.68046029136673,6.27455034112053
20260525,603115.SH,3,65.75262894218301,-9.21,37.16824786837998,113.25616131441372,75.88000442347021,1.1161445865727255,53.71364743563862,7.4824273957525556
20260525,300672.SZ,4,64.79324074758996,-6.19,35.44715447154472,101.82930522745166,101.69500520630928,1.0690818438158043,49.76458822604026,7.515649116789576
20260525,001259.SZ,5,64.7920555613892,4.64,7.107438016528933,124.57466918714557,101.57243869039118,1.9119181889402077,39.91284889883404,8.157968574635238
20260525,688143.SH,6,63.703354410590634,0.54,17.452248921749835,93.62620619603858,134.41522950808937,0.8910967776608386,63.75047648704222,7.625292740046841
20260525,300209.SZ,7,62.42638229275686,-10.44,9.795918367346946,114.73149492017419,111.57337195961814,0.9023226186426669,30.49901872147125,9.131946120793705
20260525,300721.SZ,8,61.011306693711504,9.08,-1.1939335269441687,107.73405698778835,141.44044336530627,1.0801388240050023,23.2465938135201,8.948399738732858
20260525,300835.SZ,9,59.96490856308229,0.35,55.647005029721086,71.10686639187693,107.43517052074519,1.2146066735982273,49.68164069370668,5.9950478428739284
20260525,002552.SZ,10,59.185470420784135,32.26,23.938879456706253,98.9100817438692,93.0274596391424,1.1991189706438237,45.48111734812501,6.740052185257664
20260526,300069.SZ,1,84.65204698063448,-3.04,67.51633986928103,120.66293585880325,123.1297380106075,1.0706685404822143,69.66768171587448,7.478680118165099
20260526,002552.SZ,2,68.76631961407571,26.15,23.95163365063031,123.98884239888423,92.812740445117,1.2807747390374367,53.24183775703315,6.812251675265372
20260526,003036.SZ,3,66.20245987832763,10.1,47.32057416267943,101.63719711853307,95.01196338394817,0.9244060289382822,44.647366257560606,7.01178490233378
20260526,300672.SZ,4,66.1853944711957,-5.3,38.179093293368304,106.0591010677924,100.2927379763011,1.0974160379614177,43.67307363504737,7.515149950074031
20260526,001259.SZ,5,66.06655975968403,-8.69,0.2731867231252627,134.23739629865983,99.57519829735546,1.978467418741166,38.38019208475103,8.326035767801192
20260526,301013.SZ,6,64.32958427115355,16.33,51.78217821782178,88.48360655737706,100.5254817142627,2.3884139645887674,50.33587761306244,6.538688534774639
20260526,688143.SH,7,61.258930587816884,21.66,9.300911854103354,97.47391543108182,132.53034127502065,0.7743393982000984,48.78024813947115,8.340119974574927
20260526,688072.SH,8,60.65735388985806,-20.53,35.1521813562071,97.3476476160404,88.4849892724636,1.5536045371175782,43.47737505272793,8.161714285714286
20260526,603779.SH,9,56.68735875038802,-26.06,6.499999999999995,101.57728706624604,101.06913295337282,2.8477465591749165,39.78671041837571,7.673820701989717
20260526,300835.SZ,10,56.36849050261089,19.97,44.1599717489185,71.97472353870458,107.00160763870572,1.3432159841778126,39.415154749199566,6.784161395588917
20260527,300069.SZ,1,86.29253113751072,-4.37,47.031590413943356,140.70441373160943,119.70318304548783,1.403464851575394,69.83328090594527,7.759373428941868
20260527,002552.SZ,2,77.40265784256097,17.69,35.106951871657756,141.7703349282297,88.93553061212694,1.19206905623471,53.483992467043294,7.16123377908456
20260527,300672.SZ,3,70.16364645641278,-13.42,32.55787605272103,121.03274559193954,98.4965180732834,1.086921435699772,45.86437106898637,7.701872201872205
20260527,688143.SH,4,65.51224738585923,24.68,4.649202893461624,114.18714963346272,128.90582621582118,0.7017235880976948,48.045483673864766,8.431840624310931
20260527,001259.SZ,5,63.579187849826795,-1.43,-7.115360735129772,132.73179838207838,99.7765379593202,1.610883204203803,35.550219725456465,8.600076394194039
20260527,600396.SH,6,62.1582107139192,14.92,27.716643741403036,101.84782608695654,107.7987798401133,0.8827314552198582,31.41320501026117,9.681513962612506
20260527,003036.SZ,7,61.700295126019284,4.9,41.08307959982602,93.12295325989876,92.35281532308478,0.9814662369008309,46.975858982927974,6.891805589200375
20260527,300835.SZ,8,59.61872985853615,9.58,45.456861413043455,79.19238414060045,106.86100834252814,1.3501984228274724,41.667355884542225,6.501088379773649
20260527,000636.SZ,9,56.41391492569803,36.91,30.05882352941176,94.54465464144302,73.49305967538808,1.226714028566944,44.61850410439219,5.828002842928215
20260527,603115.SH,10,54.782357707157296,-9.8,15.920041004613017,93.26610835754572,90.41046127616409,1.2649804421329525,42.69129820310924,8.296907372782856
20260528,002552.SZ,1,88.77514204472087,6.15,53.53591160220992,158.271375464684,90.64512912341446,1.152152846062645,60.51985559566786,7.060607618362205
20260528,688143.SH,2,86.08275775568097,5.43,29.69696969696969,149.489944622559,132.50689601508975,0.6795866462085244,61.844574378075336,8.62441588785047
20260528,300069.SZ,3,74.57859636605191,-6.09,18.90603722197004,129.47875602277708,122.41198090921223,1.6683641510909504,57.478658170013254,8.581245057671858
20260528,300835.SZ,4,73.47521326908118,-1.89,57.73834089971108,106.46067415730336,108.07714886992021,1.3793495349731755,51.86312451822592,6.494729760035882
20260528,000636.SZ,5,65.81773291490923,30.55,42.22222222222221,108.84499785315586,76.89325371288267,1.2240799934617035,52.742231782568425,5.703712406015037
20260528,001259.SZ,6,65.21189402653826,-8.09,-11.375000000000002,140.70987654320984,98.8295976069001,1.5712989349409043,35.72447878598028,8.7364680453538
20260528,003036.SZ,7,64.94806139816045,4.9,50.51676861421641,93.12584573748306,92.35435313300526,0.9043079702902451,55.61419194452319,6.728459320948106
20260528,688172.SH,8,63.84229650084708,-9.54,50.34615384615386,80.97222222222223,118.06559350295316,1.0704537815695934,48.704682923117915,8.703358549866607
20260528,300672.SZ,9,62.93852920195909,-8.88,34.08356417359186,101.10213502596652,98.18832463881462,1.0321314700135482,39.74217606607993,7.6931590403226835
20260528,603989.SH,10,61.47340771009826,-10.85,48.684210526315795,90.76464746772592,75.60042695829505,1.7588396581988435,57.562335958005264,5.278128950695322
20260529,002552.SZ,1,88.03252639096048,1.07,44.902059266700164,162.51137397634216,90.13459070645075,1.2563850499305058,58.46859465546126,7.160188165387471
20260529,688143.SH,2,86.47203701970926,4.62,22.048097060735184,159.60061443932415,129.27730437961878,0.7139380029733433,52.28586489810814,9.76077768385461
20260529,001259.SZ,3,72.4047954362098,-14.89,4.646464646464632,148.5157421289355,98.75914113356518,1.65844652230012,38.27506527524045,8.557984004412575
20260529,000636.SZ,4,69.56944374607069,12.48,40.96225412014887,116.98036006546646,78.99456756256295,1.5111712614332342,59.373685159584056,5.537296947819294
20260529,300069.SZ,5,66.44703329415513,-8.54,-6.260639303953086,127.33944954128442,123.31856002352444,1.8168193798820549,43.005540166204995,9.388331603827973
20260529,003036.SZ,6,66.11485902366614,15.99,39.51660444095106,109.87289388117057,82.5057691450547,1.0129599188886476,48.798608418648,7.2112676056338
20260529,601991.SH,7,64.83247746962758,-8.11,25.25399129172716,113.61386138613865,103.17779377013107,1.162953463806567,27.304912228942314,8.897533520940241
